Restaurant Id,Restaurant Name,Country,City,User Rating Votes,User Aggregate Rating,Cuisines
18649486,The Drunken Botanist,Gurgaon,Gurgaon,4765,4.4,"Continental, Italian, North Indian, Chinese"
308322,Hauz Khas Social,New Delhi,New Delhi,13627,4.6,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages"
18856789,AIR- An Ivory Region,New Delhi,New Delhi,1819,4.1,"North Indian, Chinese, Continental, Asian"
307374,AMA Cafe,New Delhi,New Delhi,3252,4.4,"Cafe, Juices"
18238278,Tamasha,New Delhi,New Delhi,8112,4.4,"Finger Food, North Indian, Continental, Italian"
18268712,Chili's Grill & Bar,Noida,Noida,3702,4.6,"Mexican, American, Italian, Burger"
18198449,Punjabi Angithi,New Delhi,New Delhi,3613,4.7,"North Indian, Chinese, Momos, Rolls, Fast Food"
18382360,Local,New Delhi,New Delhi,5694,4.3,"North Indian, Continental, Momos"
18273624,Cafeteria & Co.,New Delhi,New Delhi,4229,4.5,"Continental, Mexican, Fast Food"
18466951,Jungle Jamboree,Noida,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ"
306046,SodaBottleOpenerWala,Gurgaon,Gurgaon,3818,4.2,"Parsi, North Indian, Maharashtrian, Beverages, Bakery"
18337893,The Luggage Room Kitchen And Bar,New Delhi,New Delhi,1622,4.5,"Italian, Chinese, Continental"
18518483,Echoes Hudson Lane,New Delhi,New Delhi,2534,4.6,"Cafe, American, Chinese, Continental, North Indian, Italian"
18246991,Odeon Social,New Delhi,New Delhi,5808,4.4,"Continental, American, Asian, North Indian, Momos, Beverages"
8913,Pirates of Grill,Gurgaon,Gurgaon,5760,4.9,"North Indian, Mughlai, Continental"
313256,The Junkyard Cafe,New Delhi,New Delhi,5512,4.5,"North Indian, Mediterranean, Asian, Salad, Momos"
18562836,Diggin,New Delhi,New Delhi,2335,4.2,"Italian, Continental, Beverages"
17953943,The Burger Club,New Delhi,New Delhi,2411,4.2,"Burger, Fast Food, Beverages"
18258498,Chinese Kitchen,New Delhi,New Delhi,713,4.1,"Fast Food, Chinese, Momos"
18537536,Chili's Grill & Bar,New Delhi,New Delhi,2364,4.6,"Mexican, American, Italian"
18707652,Zam Zam,Kolkata,Kolkata,824,4.4,"Biryani, Mughlai"
18571735,Dum Laga Ke Haishaa,Kolkata,Kolkata,770,4.5,"Continental, Biryani, North Indian, Chinese, Kebab"
18398880,JW Kitchen - JW Marriott Hotel Kolkata,Kolkata,Kolkata,3578,4.6,"North Indian, European, Mediterranean, Thai, Salad, Juices"
18677746,Burger in Law,Kolkata,Kolkata,455,4.7,"Burger, Fast Food"
